id,description,severity,severityLevel,timeRaised,floodAreaID,county,riverOrSea
http://environment.data.gov.uk/flood-monitoring/id/floods/061FAG22GtSheff,Groundwater flooding in the Great Shefford area,Flood alert,3,2025-01-28T09:54:05,061FAG22GtSheff,West Berkshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/061FAG22LamVal,Groundwater flooding in the Lambourn Valley catchment,Flood alert,3,2025-01-28T09:54:06,061FAG22LamVal,"Oxfordshire, West Berkshire",Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/065FAG009,Groundwater flooding in the Candovers and Old Alresford,Flood alert,3,2025-01-27T17:17:28,065FAG009,Hampshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/062FAGFlamstdGW,Groundwater flooding in Flamstead,Flood alert,3,2025-01-30T10:32:27,062FAGFlamstdGW,Hertfordshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/062FAGKimptonGW,Groundwater flooding in Kimpton and Lilley Bottom,Flood alert,3,2025-01-30T10:32:19,062FAGKimptonGW,Hertfordshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/061FAG21IlsComp,"Groundwater flooding in West Ilsley, East Ilsley, Compton, Chilton and West Hagbourne",Flood alert,3,2025-01-28T09:53:57,061FAG21IlsComp,West Berkshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAC155,Hayling Island,Flood alert,3,2025-01-30T15:16:44,065WAC155,Hampshire,Langstone Harbour
http://environment.data.gov.uk/flood-monitoring/id/floods/065WAF142,Danes Stream,Warning no longer in force,4,2025-01-30T11:28:59,065WAF142,Hampshire,Danes Stream
http://environment.data.gov.uk/flood-monitoring/id/floods/065FAG006,Groundwater flooding in Hursley,Flood alert,3,2025-01-27T17:25:44,065FAG006,Hampshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/065FAG003,Groundwater flooding in villages surrounding Andover,Flood alert,3,2025-01-27T17:10:33,065FAG003,"Hampshire, Wiltshire",Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/065FAG001,Groundwater flooding in Deane and Ashe in North Hampshire,Flood alert,3,2025-01-27T16:38:27,065FAG001,Hampshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/061FAG23HenAssen,Groundwater flooding in the Henley and Assendon area,Flood alert,3,2025-01-28T09:53:48,061FAG23HenAssen,"Buckinghamshire, Oxfordshire",Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWGTILL1,Groundwater flooding for the Till,Flood warning,2,2025-01-28T13:18:09,111FWGTILL1,Wiltshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/122WAF947,Tidal River Ouse from Naburn Lock to Selby,Warning no longer in force,4,2025-01-30T08:57:23,122WAF947,"Leeds, North Yorkshire, York",River Ouse
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWGCHIT1,Groundwater flooding in the Chitterne Valley,Flood warning,2,2025-01-29T15:52:51,111FWGCHIT1,Wiltshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/111FWGWYLV101,Groundwater flooding for the Wylye Valley,Flood warning,2,2025-01-29T16:21:54,111FWGWYLV101,Wiltshire,Groundwater
http://environment.data.gov.uk/flood-monitoring/id/floods/062WAF47Mimram,River Mimram in Hertfordshire,Flood alert,3,2025-01-30T16:44:03,062WAF47Mimram,Hertfordshire,Mimram
